,Pyruvate,Glucose,CO2,BVU_0976
bvu00640.graphml,,,,
bvu02020.graphml,,,,
bvu00650.graphml,"BVU_0978,BVU_2555,BVU_2880,BVU_3787",,,
bvu03430.graphml,,,,
bvu03420.graphml,,,,
bvu00130.graphml,,,,
bvu00270.graphml,BVU_2066,,,
bvu00260.graphml,"BVU_3892,BVU_2444",,BVU_3019,
bvu03010.graphml,,,,
bvu00190.graphml,,,,
bvu00051.graphml,,,,
bvu00562.graphml,,,,
bvu00500.graphml,,"BVU_0191,BVU_1381,BVU_1387,BVU_0117,BVU_3258,BVU_0131",,
bvu00261.graphml,BVU_3305,,,
bvu00730.graphml,BVU_1763,,,
bvu00720.graphml,"BVU_3787,BVU_3358,BVU_1975",,"BVU_3787,BVU_0978,BVU_1960",
bvu00040.graphml,BVU_2788,,,
bvu00970.graphml,,,,
bvu00511.graphml,,,,
bvu00362.graphml,BVU_2661,,,
bvu03018.graphml,,,,
bvu00790.graphml,,,,
bvu00780.graphml,,,,
bvu00946.graphml,,,,
bvu00300.graphml,,,,
bvu00470.graphml,,,,
bvu00460.graphml,,,,
bvu00121.graphml,,,,
bvu00740.graphml,,,,
bvu00750.graphml,,,,
bvu00910.graphml,,,BVU_0341,
bvu00900.graphml,BVU_1763,,,
bvu00030.graphml,BVU_3056,,,
bvu00020.graphml,"BVU_3787,BVU_0978,BVU_1975",,,"PEP,Oxaloacetate"
bvu00561.graphml,,,,
bvu04981.graphml,,,,
bvu00052.graphml,,"BVU_0736,BVU_0117",,
bvu04146.graphml,,,,
bvu00360.graphml,BVU_2661,,,
bvu00525.graphml,,,,
bvu00400.graphml,,,,
bvu00410.graphml,,,,
bvu00630.graphml,BVU_3056,,,
bvu00620.graphml,"BVU_1974,BVU_0978,BVU_3787,BVU_1975,BVU_3358,BVU_0245,BVU_2880,BVU_1789,BVU_2499,BVU_0876",,,"Oxaloacetate,PEP"
bvu02040.graphml,,,,
bvu03440.graphml,,,,
bvu00401.graphml,,,,
bvu00860.graphml,,,,
bvu03070.graphml,,,,
bvu03060.graphml,,,,
bvu00680.graphml,,,,
bvu04980.graphml,,,,
bvu00053.graphml,,,,
bvu00330.graphml,,,,
bvu01501.graphml,,,,
bvu00440.graphml,,,,
bvu00450.graphml,,,,
bvu00710.graphml,"BVU_0245,BVU_3358",,"BVU_0976,BVU_0245","Oxaloacetate,PEP,CO2"
bvu04142.graphml,,,,
bvu00543.graphml,,,,
bvu00625.graphml,,,,
bvu00521.graphml,,BVU_0191,,
bvu00240.graphml,,,,
bvu00250.graphml,BVU_3807,,,
bvu03030.graphml,,,,
bvu03020.graphml,,,,
bvu00552.graphml,,,,
bvu00061.graphml,,,,
bvu00071.graphml,,,,
bvu00520.graphml,,,,
bvu00670.graphml,,,,
bvu02010.graphml,,,,
bvu00660.graphml,"BVU_2007,BVU_2555",,,
bvu03410.graphml,,,,
bvu00564.graphml,,,,
bvu00230.graphml,,,,
bvu00220.graphml,,,,
bvu02024.graphml,,,,
bvu00785.graphml,,,BVU_3019,
bvu00626.graphml,,,,
bvu04141.graphml,,,,
bvu00540.graphml,,,,
bvu00550.graphml,,,,
bvu00600.graphml,,,,
bvu00290.graphml,"BVU_2555,BVU_2007",,,
bvu00280.graphml,,,,
bvu01502.graphml,,,,
bvu00332.graphml,,,,
bvu00340.graphml,,,,
bvu00350.graphml,,,,
bvu00430.graphml,BVU_3807,,,
bvu00770.graphml,BVU_2555,,,
bvu00760.graphml,,,,
bvu00920.graphml,,,,
bvu04122.graphml,,,,
bvu00523.graphml,,,,
bvu00999.graphml,,,,
bvu00010.graphml,"BVU_3787,BVU_3358,BVU_0978,BVU_0876",,,"PEP,Oxaloacetate"
bvu00541.graphml,,,,
bvu00480.graphml,,,,
